name,price,Is it a 3D Printer?,dimensions (mm),type,speed (mm/s),rating,review,link
ELEGOO Saturn 4 Ultra Resin 3D Printer,831.99, Yes, 218.88 x 122.88 x 220, MSLA,150,4.4,346 ratings,https://www.amazon.ca/sspa/click?ie=UTF8&spc=MTo3MDU3NzQ0NjA2Njg2ODc6MTcyNzM4MDM5MjpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwMzk5MDE0NDI2NjAyOjozOjo&url=%2FELEGOO-Automatic-Intelligent-WiFi-Transfer-218-88x122-88x220%2Fdp%2FB0D12Q82KC%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.46621be6-fabe-4126-8501-d32c96c42a24%253Aamzn1.sym.46621be6-fabe-4126-8501-d32c96c42a24%26crid%3D2FEGPDXUL9K1Y%26cv_ct_cx%3D3D%2BPrinters%26dib%3DeyJ2IjoiMSJ9.HJawrJvg-kRWD8B8TUu27lX8CCVs605lAvyvsPwuB3ZBKJJSCP9fFXBCMYlGv6K5x0xVNUdR-f7x0KNbMuxOuQ.4-skHaAJtmDS9fy7H53qRdfxI6TLeu2wQ15PUy1Huxk%26dib_tag%3Dse%26keywords%3D3D%2BPrinters%26pd_rd_i%3DB0D12Q82KC%26pd_rd_r%3D5d0408b0-658c-4b49-97bd-53946e0e76b4%26pd_rd_w%3DkH8zb%26pd_rd_wg%3DqyHZz%26pf_rd_p%3D46621be6-fabe-4126-8501-d32c96c42a24%26pf_rd_r%3D3MB69SWSJANE7ZVBS4Y2%26qid%3D1727380392%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D3d%2Bprinters%252Caps%252C146%26sr%3D1-4-acb80629-ce74-4cc5-9423-11e8801573fb-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
AnkerMake M5C 3D Printer,369.95, Yes, 220 x 220 x 250, FDM,500,4.3,371 ratings,https://www.amazon.ca/sspa/click?ie=UTF8&spc=MTo3MDU3NzQ0NjA2Njg2ODc6MTcyNzM4MDM5MjpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwNDMwNTc5NDUwNzAyOjo0Ojo&url=%2FAnkerMake-High-Speed-Multi-Device-Auto-Leveling-220%25C3%2597220%25C3%2597250%2Fdp%2FB0C2HMQB15%2Fref%3Dsxin_15_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.46621be6-fabe-4126-8501-d32c96c42a24%253Aamzn1.sym.46621be6-fabe-4126-8501-d32c96c42a24%26crid%3D2FEGPDXUL9K1Y%26cv_ct_cx%3D3D%2BPrinters%26dib%3DeyJ2IjoiMSJ9.HJawrJvg-kRWD8B8TUu27lX8CCVs605lAvyvsPwuB3ZBKJJSCP9fFXBCMYlGv6K5x0xVNUdR-f7x0KNbMuxOuQ.4-skHaAJtmDS9fy7H53qRdfxI6TLeu2wQ15PUy1Huxk%26dib_tag%3Dse%26keywords%3D3D%2BPrinters%26pd_rd_i%3DB0C2HMQB15%26pd_rd_r%3D5d0408b0-658c-4b49-97bd-53946e0e76b4%26pd_rd_w%3DkH8zb%26pd_rd_wg%3DqyHZz%26pf_rd_p%3D46621be6-fabe-4126-8501-d32c96c42a24%26pf_rd_r%3D3MB69SWSJANE7ZVBS4Y2%26qid%3D1727380392%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3D3d%2Bprinters%252Caps%252C146%26sr%3D1-5-acb80629-ce74-4cc5-9423-11e8801573fb-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
AnkerMake M5,559.99, Yes, 300 x 300 x 300, FDM,500,4.1,403 ratings,https://www.amazon.ca/AnkerMake-High-Speed-Beginners-Auto-Leveling-Integrated/dp/B0B79NB686/ref=sr_1_8?crid=2FEGPDXUL9K1Y&dib=eyJ2IjoiMSJ9.LyaBYEwiCDr7WFi1yfwecQpk6Y0Xgt2zD7mGGcGIwUMeA20yeoJW_vCmgf97iLv6h-yRRyYYqOFIFPAH83vaN5Emrw5Q3cXKXTJi_7Hei6sNeROQ9SLrsddpcJwJ2_pw-O-x83plgumMmqD35w8jdHQt-p0IK5bqdfBi0tA2MfzAhIf1dBY69lH2Epp-5ESheImgEm9YTL6L6iMi55nFtiBf2yF4d3kl7Mtxtqitt-mvnZqq6tZ6wY569EsZkG4LM5CLgrTkjWhTyocc91hVSc_GXb9W904w99PsGSeAKH4.LJsUa-wjTrstP--fXeYIQ6LDtpFUUb1AFG-HaMxIp8Q&dib_tag=se&keywords=3D+Printers&qid=1727380392&sprefix=3d+printers%2Caps%2C146&sr=8-8
Entina Mini 3D Printers Tina 2,210, Yes, 99 x 120 x 100, FDM, N/A,4.2,94 ratings,https://www.amazon.ca/Entina-Assembled-Beginners-Removable-Precision/dp/B0B8N5D6GQ/ref=sr_1_9?crid=2FEGPDXUL9K1Y&dib=eyJ2IjoiMSJ9.LyaBYEwiCDr7WFi1yfwecQpk6Y0Xgt2zD7mGGcGIwUMeA20yeoJW_vCmgf97iLv6h-yRRyYYqOFIFPAH83vaN5Emrw5Q3cXKXTJi_7Hei6sNeROQ9SLrsddpcJwJ2_pw-O-x83plgumMmqD35w8jdHQt-p0IK5bqdfBi0tA2MfzAhIf1dBY69lH2Epp-5ESheImgEm9YTL6L6iMi55nFtiBf2yF4d3kl7Mtxtqitt-mvnZqq6tZ6wY569EsZkG4LM5CLgrTkjWhTyocc91hVSc_GXb9W904w99PsGSeAKH4.LJsUa-wjTrstP--fXeYIQ6LDtpFUUb1AFG-HaMxIp8Q&dib_tag=se&keywords=3D+Printers&qid=1727380392&sprefix=3d+printers%2Caps%2C146&sr=8-9
FLASHFORGE Adventurer 5M,549, Yes, 220 x 220 x 220, FDM,600,4.1,66 ratings,https://www.amazon.ca/FLASHFORGE-Adventurer-High-Speed-Structure-Compensation/dp/B0CHJGFVSL/ref=sr_1_10?crid=2FEGPDXUL9K1Y&dib=eyJ2IjoiMSJ9.LyaBYEwiCDr7WFi1yfwecQpk6Y0Xgt2zD7mGGcGIwUMeA20yeoJW_vCmgf97iLv6h-yRRyYYqOFIFPAH83vaN5Emrw5Q3cXKXTJi_7Hei6sNeROQ9SLrsddpcJwJ2_pw-O-x83plgumMmqD35w8jdHQt-p0IK5bqdfBi0tA2MfzAhIf1dBY69lH2Epp-5ESheImgEm9YTL6L6iMi55nFtiBf2yF4d3kl7Mtxtqitt-mvnZqq6tZ6wY569EsZkG4LM5CLgrTkjWhTyocc91hVSc_GXb9W904w99PsGSeAKH4.LJsUa-wjTrstP--fXeYIQ6LDtpFUUb1AFG-HaMxIp8Q&dib_tag=se&keywords=3D+Printers&qid=1727380392&sprefix=3d+printers%2Caps%2C146&sr=8-10
Ender 3 V3 SE,303.97, Yes, 220 x 220 x 250, FDM,250,5,1 rating,https://www.amazon.ca/Creality-Ender-V3-SE-8-66x8-66x9-84inch/dp/B0DD71K9NG/ref=sr_1_11?crid=2FEGPDXUL9K1Y&dib=eyJ2IjoiMSJ9.LyaBYEwiCDr7WFi1yfwecQpk6Y0Xgt2zD7mGGcGIwUMeA20yeoJW_vCmgf97iLv6h-yRRyYYqOFIFPAH83vaN5Emrw5Q3cXKXTJi_7Hei6sNeROQ9SLrsddpcJwJ2_pw-O-x83plgumMmqD35w8jdHQt-p0IK5bqdfBi0tA2MfzAhIf1dBY69lH2Epp-5ESheImgEm9YTL6L6iMi55nFtiBf2yF4d3kl7Mtxtqitt-mvnZqq6tZ6wY569EsZkG4LM5CLgrTkjWhTyocc91hVSc_GXb9W904w99PsGSeAKH4.LJsUa-wjTrstP--fXeYIQ6LDtpFUUb1AFG-HaMxIp8Q&dib_tag=se&keywords=3D+Printers&qid=1727380392&sprefix=3d+printers%2Caps%2C146&sr=8-11
Anycubic Kobra 2 Pro,359, Yes, 220 x 220 x 250, FDM,500,4.1,197 ratings,https://www.amazon.ca/Anycubic-High-Speed-Printing-Computing-Structure/dp/B0CF24TYVT/ref=sr_1_12?crid=2FEGPDXUL9K1Y&dib=eyJ2IjoiMSJ9.LyaBYEwiCDr7WFi1yfwecQpk6Y0Xgt2zD7mGGcGIwUMeA20yeoJW_vCmgf97iLv6h-yRRyYYqOFIFPAH83vaN5Emrw5Q3cXKXTJi_7Hei6sNeROQ9SLrsddpcJwJ2_pw-O-x83plgumMmqD35w8jdHQt-p0IK5bqdfBi0tA2MfzAhIf1dBY69lH2Epp-5ESheImgEm9YTL6L6iMi55nFtiBf2yF4d3kl7Mtxtqitt-mvnZqq6tZ6wY569EsZkG4LM5CLgrTkjWhTyocc91hVSc_GXb9W904w99PsGSeAKH4.LJsUa-wjTrstP--fXeYIQ6LDtpFUUb1AFG-HaMxIp8Q&dib_tag=se&keywords=3D+Printers&qid=1727380392&sprefix=3d+printers%2Caps%2C146&sr=8-12
ANYCUBIC 3D Printer Kobra 2 Neo,359.99, Yes, 220 x 220 x 250, FDM,250,4.1,189 ratings,https://www.amazon.ca/ANYCUBIC-Integrated-Structure-Mainboard-Removable/dp/B0983DV27P/ref=sr_1_13?crid=2FEGPDXUL9K1Y&dib=eyJ2IjoiMSJ9.LyaBYEwiCDr7WFi1yfwecQpk6Y0Xgt2zD7mGGcGIwUMeA20yeoJW_vCmgf97iLv6h-yRRyYYqOFIFPAH83vaN5Emrw5Q3cXKXTJi_7Hei6sNeROQ9SLrsddpcJwJ2_pw-O-x83plgumMmqD35w8jdHQt-p0IK5bqdfBi0tA2MfzAhIf1dBY69lH2Epp-5ESheImgEm9YTL6L6iMi55nFtiBf2yF4d3kl7Mtxtqitt-mvnZqq6tZ6wY569EsZkG4LM5CLgrTkjWhTyocc91hVSc_GXb9W904w99PsGSeAKH4.LJsUa-wjTrstP--fXeYIQ6LDtpFUUb1AFG-HaMxIp8Q&dib_tag=se&keywords=3D+Printers&qid=1727380392&sprefix=3d+printers%2Caps%2C146&sr=8-13
ELEGOO Neptune 3 Pro,335.99, Yes, 225 x 225 x 280, FDM, N/A,4.2,551 ratings,https://aax-us-iad.amazon.com/x/c/JPrAnX131DQ-UVt_AfzLXm4AAAGSL-UKqAEAAAH2AQBvbm9fdHhuX2JpZDMgICBvbm9fdHhuX2ltcDEgICC3_a1v/https://www.amazon.ca/ELEGOO-Dual-Gear-Removable-Capacitive-225x225x280mm/dp/B0BJCQ993L/ref=sxin_23_sbv_search_btf?content-id=amzn1.sym.8d483e07-327c-4aac-8788-cd60359f3dcb%3Aamzn1.sym.8d483e07-327c-4aac-8788-cd60359f3dcb&crid=2FEGPDXUL9K1Y&cv_ct_cx=3D+Printers&dib=eyJ2IjoiMSJ9.yPahst_Af_0NA_xpeDcoyg.6dHoM98awJoiesjN71JXX6rjmT-mDd9ouIh-vTMkqZA&dib_tag=se&keywords=3D+Printers&pd_rd_i=B0BJCQ993L&pd_rd_r=5d0408b0-658c-4b49-97bd-53946e0e76b4&pd_rd_w=VTyiQ&pd_rd_wg=qyHZz&pf_rd_p=8d483e07-327c-4aac-8788-cd60359f3dcb&pf_rd_r=3MB69SWSJANE7ZVBS4Y2&qid=1727380392&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=3d+printers%2Caps%2C146&sr=1-1-5190daf0-67e3-427c-bea6-c72c1df98776
FLASHFORGE Adventurer 5M Pro,849, yes, 220 x 220 x 220, FDM,600,4.3,53 ratings,https://www.amazon.ca/FLASHFORGE-Adventurer-High-Speed-Detachable-220x220x220mm/dp/B0CHJDYVZ7/ref=sr_1_14?crid=2FEGPDXUL9K1Y&dib=eyJ2IjoiMSJ9.LyaBYEwiCDr7WFi1yfwecQpk6Y0Xgt2zD7mGGcGIwUMeA20yeoJW_vCmgf97iLv6h-yRRyYYqOFIFPAH83vaN5Emrw5Q3cXKXTJi_7Hei6sNeROQ9SLrsddpcJwJ2_pw-O-x83plgumMmqD35w8jdHQt-p0IK5bqdfBi0tA2MfzAhIf1dBY69lH2Epp-5ESheImgEm9YTL6L6iMi55nFtiBf2yF4d3kl7Mtxtqitt-mvnZqq6tZ6wY569EsZkG4LM5CLgrTkjWhTyocc91hVSc_GXb9W904w99PsGSeAKH4.LJsUa-wjTrstP--fXeYIQ6LDtpFUUb1AFG-HaMxIp8Q&dib_tag=se&keywords=3D+Printers&qid=1727380392&sprefix=3d+printers%2Caps%2C146&sr=8-14
